mark	X	Y	refr1	refr2	xsize	asp	QEXT	QSCA	GSCA
sw10_50	2.356560264239981	3.2664529138401965	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	1.9727226569682017	1.1618818889536129	2.7897122427147987	2.7897121534046243	0.76367415365252
sw10_50	2.9457003302999767	4.08412397560389	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	2.465903321210252	1.1621829071870189	3.483285057725653	3.483284940625578	0.792741629602951
sw10_50	3.534840396359972	4.901795925791479	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	2.9590839854523026	1.162383796685041	3.643094669221177	3.6430945253301297	0.786564154252574
sw10_50	4.123980462419967	5.719468383575117	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	3.4522646496943525	1.1625273923565589	3.3407358134673366	3.340735643791256	0.752103256254034
sw10_50	4.713120528479963	6.537141158571753	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	3.9454453139364034	1.1626351455267514	2.797877521274691	2.7978773242297352	0.692421512279206
sw10_50	5.302260594539958	7.354814145026013	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	4.438625978178454	1.1627189869772447	2.3033474737287367	2.303347248846321	0.619153402711606
sw10_50	5.891400660599952	8.172487279490783	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	4.931806642420504	1.1627860811966582	2.0659027501598626	2.0659025000970415	0.559914852678662
sw10_50	6.480540726659949	8.99016052159376	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	5.424987306662555	1.1628409903896553	2.1468002676592985	2.146799992264123	0.565261450716263
sw10_50	7.069680792719944	9.807833844421785	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	5.918167970904605	1.1628867576218238	2.461258731631447	2.4612584280953773	0.618854436452489
sw10_50	7.658820858779937	10.625507229343665	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	6.411348635146655	1.1629254905373112	2.8295362671554147	2.8295359344386535	0.670379909269025
sw10_50	8.247960924839933	11.443180663052008	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	6.904529299388705	1.162958695137276	3.063531481930475	3.0635311217346013	0.69606411314048
sw10_50	8.83710099089993	12.260854135788447	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	7.397709963630756	1.1629874761592052	3.0607267862404046	3.0607263996395364	0.697129332133415
sw10_50	9.426241056959926	13.078527640234435	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	7.890890627872808	1.1630126623731758	2.8378856478913232	2.8378852326408146	0.680347404309794
sw10_50	10.01538112301992	13.896201170793624	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	8.384071292114855	1.16303488768868	2.5107856471379475	2.510785203229162	0.648783632223821
sw10_50	10.604521189079916	14.713874723113403	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	8.877251956356908	1.1630546452447441	2.2239922584038885	2.2239917877012534	0.613805303775817
sw10_50	11.193661255139912	15.531548293757574	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	9.370432620598958	1.1630723244302774	2.090039718918698	2.0900392224950552	0.600036891024047
sw10_50	11.782801321199909	16.34922187997725	(1.5+1.1842440250740128e-08j)	(1.3336699543428605+1.6384103437390295e-09j)	9.863613284841009	1.1630882368053033	2.1358863063865527	2.1358857829659397	0.622124227555998
