mark	X	Y	QEXT	QSCA	GSCA
sw10_50	2.356560264239981	3.2664529138401965	2.7389363468926406	2.7389362691113637	0.7756927763941366
sw10_50	2.9457003302999767	4.08412397560389	3.5815640594216474	3.5815639595080677	0.8084586604953234
sw10_50	3.534840396359972	4.901795925791479	3.984500442422972	3.9845003218245276	0.8090605151987889
sw10_50	4.123980462419967	5.719468383575117	3.912830871242928	3.9128307286254658	0.7990433436067781
sw10_50	4.713120528479963	6.537141158571753	3.4659783650733873	3.4659781997615724	0.777235990904818
sw10_50	5.302260594539958	7.354814145026013	2.8311284743520018	2.8311282883895257	0.7298355986275422
sw10_50	5.891400660599952	8.172487279490783	2.2218372442381593	2.2218370380951775	0.6614102288577837
sw10_50	6.480540726659949	8.99016052159376	1.8145172810331933	1.814517052940743	0.6078827273285045
sw10_50	7.069680792719944	9.807833844421785	1.6989214344651844	1.6989211847427428	0.6082038372662123
sw10_50	7.658820858779937	10.625507229343665	1.859044503198987	1.8590442338584598	0.658911208082137
sw10_50	8.247960924839933	11.443180663052008	2.1865721449328834	2.186571855725597	0.7269440352841523
sw10_50	8.83710099089993	12.260854135788447	2.5284227475048002	2.528422437712918	0.7838530120739654
sw10_50	9.426241056959926	13.078527640234435	2.745163873605049	2.7451635459373094	0.8159905655137607
sw10_50	10.01538112301992	13.896201170793624	2.7625074607875293	2.7625071181291267	0.8274408391772607
sw10_50	10.604521189079916	14.713874723113403	2.591085456791787	2.591085098794702	0.8275953823545126
sw10_50	11.193661255139912	15.531548293757574	2.3123823127288152	2.312381938495653	0.8178478904631216
sw10_50	11.782801321199909	16.34922187997725	2.03951561182011	2.0395152213484122	0.7956073260834997
sw10_50	11.782801321199909	16.34922187997725	2.03951561182011	2.0395152213484122	0.7956073260834997
sw10_50	13.255651486349896	18.39340590003965	1.977193500621571	1.977193002477053	0.7550555336449956
sw10_50	14.728501651499885	20.43758997928652	2.569065619158395	2.5690646657213074	0.7736662633140611
sw10_50	16.201351816649872	22.481774101575628	2.447133617480356	2.447133110026184	0.8329661301247169
sw10_50	17.67420198179986	24.525958256145767	2.1466090376752107	2.1466084558250564	0.7783802207429006
sw10_50	19.14705214694985	26.57014243554709	1.9812991496897707	1.9812973151759257	0.7745340383601214
sw10_50	20.619902312099843	28.61432663445834	2.432924475636112	2.4329238043349877	0.8154556683149846
sw10_50	22.092752477249828	30.65851084897735	2.293591289268507	2.2935906106236947	0.8301345371844252
sw10_50	23.565602642399817	32.70269507617754	2.1096810061648954	2.10968022160921	0.7908851745528788
sw10_50	25.038452807549806	34.746879313820955	2.146079156726379	2.14607805023815	0.7712724556817481
sw10_50	26.511302972699795	36.79106356016701	2.2797792942824247	2.2797785119397234	0.8435469781213284
sw10_50	27.98415313784978	38.83524781384151	2.3197704746598578	2.3197696167282347	0.8293083007518084
sw10_50	29.45700330299977	40.87943207374518	1.95238067231262	1.9523798151508112	0.8181719763281141
sw10_50	30.929853468149762	42.923616338988104	2.203675818975401	2.20367404167479	0.7890250351563807
sw10_50	32.402703633299744	44.967800608842175	2.225073668488615	2.225072690488625	0.8347016413645244
sw10_50	33.875553798449744	47.01198488270591	2.2410189369254057	2.24101793380635	0.839556652120747
sw10_50	35.34840396359972	49.056169160078106	2.0609020220582823	2.060900751219068	0.7890861873994763
sw10_50	35.34840396359972	49.056169160078106	2.0609020220582823	2.060900751219068	0.7890861873994763
sw10_70	2.356560264239981	3.8077780059329513	3.1439837649452183	3.1439836955877905	0.8068148907654433
sw10_70	2.9457003302999767	4.762232661432447	3.885684825812447	3.8856847376305494	0.8236460539129332
sw10_70	3.534840396359972	5.716689697738232	4.00993148875125	4.009931383452003	0.8222377124684462
sw10_70	4.123980462419967	6.671148088865683	3.583881762262425	3.5838816405358056	0.7995828420025265
sw10_70	4.713120528479963	7.625607324254853	2.8875217428088615	2.887521602325315	0.7450792491096119
sw10_70	5.302260594539958	8.580067121237397	2.2725624512694833	2.272562285094428	0.6544117902725652
sw10_70	5.891400660599952	9.5345273106565	1.9751024844213212	1.9751022870290114	0.5822011819643558
sw10_70	6.480540726659949	10.488987785089048	1.8830129452582363	1.883012733194426	0.6028357959159648
sw10_70	7.069680792719944	11.443448473039195	2.016537870621522	2.016537651222117	0.678983846469337
sw10_70	7.658820858779937	12.397909325078109	2.2923768057069784	2.2923765777682106	0.7592330157259736
sw10_70	8.247960924839933	13.352370305940411	2.5669427200319777	2.566942477986783	0.8051855792778895
sw10_70	8.83710099089993	14.306831389790409	2.8593324862739053	2.8593321826735147	0.7884855822503314
sw10_70	9.426241056959926	15.261292557267845	2.813218772979595	2.8132184558194613	0.8076639872082824
sw10_70	10.01538112301992	16.215753793578838	2.533882859228606	2.5338825453710063	0.7913943083652721
sw10_70	10.604521189079916	17.170215087224573	2.232173135208349	2.232172795818638	0.7728696659718549
sw10_70	11.193661255139912	18.1246764291323	1.8618300386908622	1.86182972952474	0.7919857410192641
sw10_70	11.782801321199909	19.07913781204757	1.878095282254752	1.8780949004849559	0.7649920321991825
sw10_70	11.782801321199909	19.07913781204757	1.878095282254752	1.8780949004849559	0.7649920321991825
sw10_70	14.728501651499885	23.851445169216518	2.5506297577753827	2.5506288058840467	0.7905609090285816
sw10_70	17.67420198179986	28.62375299318728	1.9898301647618508	1.989829708310912	0.8087390007038836
sw10_70	20.619902312099843	33.396061083660676	2.17606251884236	2.1760620003814375	0.8421961196165019
sw10_70	23.565602642399817	38.168369340592335	2.1869917024522394	2.186991101600822	0.8477616657508528
