mark	X	Y	QEXT	QSCA	GSCA
sw10_50	2.3565602642399814	3.266452913840197	2.862723293811472	2.8627232030386116	0.7649602305836056
sw10_50	2.9457003302999767	4.08412397560389	3.5455903314196826	3.5455902128734302	0.7930178050819979
sw10_50	3.534840396359972	4.901795925791478	3.674030659073375	3.6740305130731254	0.7878403002113045
sw10_50	4.123980462419967	5.719468383575117	3.3288569658206857	3.3288567936018447	0.7523643255621533
sw10_50	4.713120528479963	6.537141158571754	2.762948626144747	2.762948427548116	0.6863995152487143
sw10_50	5.302260594539958	7.354814145026013	2.266927021921649	2.2669267940824263	0.6105241419982772
sw10_50	5.891400660599953	8.172487279490783	2.0518570488223884	2.0518567961493726	0.5544827923426793
sw10_50	6.480540726659949	8.99016052159376	2.174303903547627	2.1743036294646814	0.5593787328747328
sw10_50	7.069680792719944	9.807833844421785	2.5324306239833114	2.5324303237641104	0.6197468984004326
sw10_50	7.658820858779938	10.625507229343663	2.933976315072106	2.933975987837322	0.6745024212712661
sw10_50	8.247960924839933	11.443180663052008	3.1928535374581086	3.192853182599019	0.7032281020201195
sw10_50	8.83710099089993	12.260854135788447	3.2002301562767776	3.2002297703327485	0.7096811444136133
sw10_50	9.426241056959926	13.078527640234437	2.967123241805765	2.9671228224143142	0.6937959012382637
sw10_50	10.01538112301992	13.896201170793626	2.6131446127215474	2.6131441588706266	0.6592719410906773
sw10_50	10.604521189079916	14.713874723113404	2.296886589496978	2.2968861035885797	0.6199897863251262
sw10_50	11.193661255139912	15.531548293757576	2.138140014197672	2.1381395054900323	0.5976319570911213
sw10_50	11.782801321199907	16.34922187997725	2.1675762650004455	2.167575738538344	0.6133541406358701
sw10_50	11.782801321199907	16.34922187997725	2.1675762650004455	2.167575738538344	0.6133541406358701
sw10_50	13.255651486349896	18.39340590003965	2.5566886926167824	2.556688109320471	0.728471652303688
sw10_50	14.728501651499883	20.437589979286518	2.322542619350014	2.3225419468610546	0.6892831633176298
sw10_50	16.201351816649872	22.481774101575624	1.853327079580836	1.8533263958339419	0.6699344701931897
sw10_50	17.67420198179986	24.52595825614577	2.320898872766159	2.320898065341085	0.7151677911285369
sw10_50	19.14705214694985	26.570142435547087	2.4407831861786407	2.4407823945193967	0.773093817589672
sw10_50	20.619902312099843	28.614326634458344	2.1436465337834	2.1436456842547145	0.7211786834714199
sw10_50	22.092752477249828	30.65851084897735	2.235253857360774	2.235252895794287	0.7323654741619455
sw10_50	23.565602642399817	32.70269507617754	2.390001604700991	2.390000644904958	0.7768799420369602
sw10_50	25.038452807549803	34.746879313820955	2.1956479001798925	2.1956468879140605	0.7558988363228762
sw10_50	26.511302972699795	36.791063560167004	1.8327356819593164	1.83273460782432	0.7416399663541524
sw10_50	27.98415313784978	38.83524781384151	2.221379109162598	2.221377854337133	0.7246415788607993
sw10_50	29.45700330299977	40.87943207374518	2.2115466878869388	2.2115454784026745	0.7815781963426345
sw10_50	30.92985346814976	42.9236163389881	2.016061765128777	2.016060505681541	0.7546349765796582
sw10_50	32.402703633299744	44.96780060884217	2.1979524190288178	2.1979510679140377	0.7680149862440969
sw10_50	33.87555379844974	47.01198488270591	2.3918201012930456	2.391818714862249	0.7857579697071049
sw10_50	35.34840396359972	49.0561691600781	2.0514325493216883	2.051431103521455	0.7678020525259001
sw10_50	35.34840396359972	49.0561691600781	2.0514325493216883	2.051431103521455	0.7678020525259001
sw10_70	2.3565602642399814	3.807778005932952	3.1275101670735226	3.127510087194596	0.8020375887926314
sw10_70	2.9457003302999767	4.762232661432446	3.5933025868469444	3.5933024852000623	0.8045226595879921
sw10_70	3.534840396359972	5.716689697738232	3.453350237303605	3.4533501155589597	0.7755369270364219
sw10_70	4.123980462419967	6.671148088865684	2.949178371909739	2.9491782290904065	0.7286866775690829
sw10_70	4.713120528479963	7.625607324254853	2.42565786550709	2.425657702330282	0.6728017345382789
sw10_70	5.302260594539958	8.580067121237397	2.174720416031517	2.1747202331978985	0.6362945841114659
sw10_70	5.891400660599953	9.5345273106565	2.3101238043676044	2.310123599392177	0.6539849195273614
sw10_70	6.480540726659949	10.488987785089048	2.715657454717568	2.7156572239618044	0.6937790602514511
sw10_70	7.069680792719944	11.443448473039197	3.0912481528256945	3.091247896511931	0.7212056786248636
sw10_70	7.658820858779938	12.39790932507811	3.1094798341597043	3.1094795590555484	0.7328785371089213
sw10_70	8.247960924839933	13.352370305940413	2.786161067618554	2.7861607748852832	0.7239292362015908
sw10_70	8.83710099089993	14.306831389790409	2.2926650066961143	2.2926646961677597	0.6963948142148587
sw10_70	9.426241056959926	15.261292557267845	1.852535975852175	1.852535647716598	0.6573210160877453
sw10_70	10.01538112301992	16.215753793578838	1.7164928018443777	1.7164924485304052	0.6281018820956562
sw10_70	10.604521189079916	17.170215087224577	1.9959391015853198	1.995938701649473	0.6260601853382055
sw10_70	11.193661255139912	18.1246764291323	2.171528577522668	2.1715281743907937	0.7102904204724275
sw10_70	11.782801321199907	19.07913781204757	2.4404513726821264	2.4404509503477745	0.7276082097467579
sw10_70	11.782801321199907	19.07913781204757	2.4404513726821264	2.4404509503477745	0.7276082097467579
sw10_70	14.728501651499883	23.851445169216518	2.2287105941280276	2.228710085455332	0.7607949784026248
sw10_70	17.67420198179986	28.62375299318728	2.0948724053458614	2.094871800300359	0.7423352242599066
sw10_70	20.619902312099843	33.396061083660676	2.215576773783857	2.215576086198905	0.7736381118119143
sw10_70	23.565602642399817	38.168369340592335	2.235496006998426	2.235495190775803	0.7525098189577806
